field_id,domain,entity,field_name,display_name,data_type,unit,example,description,related_reports
SF-0092,Product SKU,Competitor,competitor_share,Competitor Regional Share,number,%,28.0,Competitor regional market share,Battle map
SF-0093,Product SKU,Competitor,competitor_share_pp_change,Share Change (pp),number,pp,-1.2,Period-over-period share change in percentage points,Competitive / battle map
SF-0094,Product SKU,Competitor,promo_type,Promotion Type,string,-,Trade-in promotion,Promotion activity type,Competitive intelligence report
SF-0095,Product SKU,Competitor,promo_region,Promotion Region,string,-,Jiangsu-Anhui,Promotion activity region,Competitive intelligence report
SF-0096,Product SKU,Competitor,promo_window,Promotion Window,string,-,2026-07-01~07-31,Promotion time window,Competitive intelligence report
SF-0097,Product SKU,Competitor,price_cut_amt,Price Cut Amount,number,CNY,300,Price reduction amount,Competitive alert
SF-0098,Product SKU,Competitor,sentiment_score,Sentiment Score,number,0-1,0.62,Competitor reputation score,Competitive intelligence report
SF-0099,Product SKU,Competitor,launch_date,Launch Date,date,-,2026-06-18,Competitor launch date,Competitive intelligence report
SF-0100,Sales Targets,SalesMetric,sales_qty,Pickup / Sales Quantity,int,units,12480,Pickup-based sales volume in units,Channel analysis
SF-0101,Sales Targets,SalesMetric,sales_target_qty,Sales Target Quantity,int,units,15000,Sales target in units,Channel analysis
SF-0102,Sales Targets,SalesMetric,sales_achieve_rate,Sales Achievement Rate,number,%,83.2,Sales vs target,Channel analysis
SF-0103,Sales Targets,SalesMetric,contract_qty,Contract Quantity,int,units,11200,Signed contract volume in units,Channel analysis
SF-0104,Sales Targets,SalesMetric,contract_target_qty,Contract Target Quantity,int,units,13000,Contract target in units,Channel analysis
SF-0105,Sales Targets,SalesMetric,contract_achieve_rate,Contract Achievement Rate,number,%,86.2,Contract vs target,Channel analysis
SF-0106,Sales Targets,SalesMetric,yoy_sales_qty,YoY Sales Quantity,int,units,10900,Same period last year sales volume,Channel analysis
SF-0107,Sales Targets,SalesMetric,yoy_rate,YoY Growth Rate,number,%,14.5,Year-over-year growth,Channel analysis
SF-0108,Sales Targets,SalesMetric,mom_sales_qty,MoM Sales Quantity,int,units,13100,Prior month sales volume,Channel / alerts
SF-0109,Sales Targets,SalesMetric,mom_rate,MoM Growth Rate,number,%,-4.7,Month-over-month growth,Channel / alerts
SF-0110,Sales Targets,SalesMetric,rank_warzone,Warzone Rank,int,-,2,Rank within major warzone,Channel analysis
SF-0111,Sales Targets,SalesMetric,rank_subzone,Subzone Rank,int,-,5,Rank within sub-warzone,Channel analysis
SF-0112,Sales Targets,SalesMetric,rank_dealer,Tier-1 Dealer Rank,int,-,18,Tier-1 dealer rank,Pack A
SF-0113,Sales Targets,SalesMetric,full_achieve_outlet_cnt,100% Achievement Outlet Count,int,count,86,Outlets at 100% target,Outlet health
SF-0114,Sales Targets,SalesMetric,full_achieve_outlet_ratio,100% Achievement Outlet Ratio,number,%,41.3,Share of outlets at 100% target,Outlet health
SF-0115,Sales Targets,SalesMetric,abnormal_outlet_cnt,Abnormal Outlet Count,int,count,23,Count of abnormal outlets,Pack B
SF-0116,Sales Targets,SalesMetric,abnormal_outlet_ratio,Abnormal Outlet Ratio,number,%,11.1,Share of abnormal outlets,Pack B
SF-0117,Sales Targets,SalesMetric,abnormal_reason,Abnormal Reason,string,-,Color stockout,Root cause of abnormality,Pack B
SF-0118,Sales Targets,SalesMetric,abnormal_reason_cnt,Abnormal Reason Count,int,times,9,Occurrence count for this reason,Pack B
SF-0119,Sales Targets,SalesMetric,core_market_gap_to_top3,Core Market Gap to Top 3,int,units,1260,Gap vs regional #1 in core markets,Channel analysis
SF-0120,Sales Targets,SalesMetric,online_sales_qty,Online Sales Quantity,int,units,860,E-commerce/live-stream sales volume,New retail / Pack A
SF-0121,Sales Targets,Health,health_index,Business Health Index,number,0-100,72,Composite tier-1 dealer health score,Health index
SF-0122,Sales Targets,Health,sales_score,Sales Score,number,0-100,75,Health index sub-score — sales,Health index
SF-0123,Sales Targets,Health,retail_score,Retail Score,number,0-100,68,Health index sub-score — retail,Health index
SF-0124,Sales Targets,Health,compliance_score,Compliance Score,number,0-100,80,Health index sub-score — compliance,Health index
SF-0125,Sales Targets,Health,complaint_score,Complaint Score,number,0-100,70,Health index sub-score — complaints,Health index
SF-0126,Sales Targets,Health,inventory_turn_score,Inventory Turn Score,number,0-100,65,Health index sub-score — inventory turnover,Health index
SF-0127,Channel Development,StoreDev,blank_l1_plan_cnt,Blank Tier-1 Plan Count,int,count,18,Planned blank tier-1 network openings,Pack E
SF-0128,Channel Development,StoreDev,blank_l1_opened_cnt,Blank Tier-1 Opened Count,int,count,11,Opened blank tier-1 networks,Pack E
SF-0129,Channel Development,StoreDev,blank_l1_achieve_rate,Blank Tier-1 Achievement Rate,number,%,61.1,Opened vs planned blank tier-1,Pack E
SF-0130,Channel Development,StoreDev,store_dev_plan_cnt,Store Development Plan Count,int,count,120,Annual store development plan count,Pack E
SF-0131,Channel Development,StoreDev,store_dev_done_cnt,Store Development Done Count,int,count,74,Cumulative completed store openings,Pack E
SF-0132,Channel Development,StoreDev,store_dev_rate,Store Development Rate,number,%,61.7,Completion vs plan,Pack E
SF-0133,Channel Development,StoreDev,market_capacity_annual,Annual County Market Capacity,int,units,42000,Annual two-wheel EV market capacity in county,Battle map
SF-0134,Channel Development,StoreDev,self_coverage_flag,Own Brand Coverage Flag,enum,-,blank,Own-brand coverage marker,Battle map
SF-0135,Channel Development,StoreDev,open_roi_months,Store Opening ROI (Months),number,months,14,Predicted payback period in months,Battle map / Pack E
SF-0136,Channel Development,StoreDev,support_quota_total_wan,Support Quota Total,number,10k CNY,15,Total store-opening support quota,Pack E
SF-0137,Channel Development,StoreDev,support_quota_applied_wan,Support Quota Applied,number,10k CNY,8,Applied support quota,Pack E
SF-0138,Channel Development,StoreDev,support_quota_remain_wan,Support Quota Remaining,number,10k CNY,7,Remaining support quota,Pack E
SF-0139,Channel Development,StoreDev,first_order_qty,First Order Quantity,int,units,80,New dealer first batch pickup volume,Pack E
SF-0140,Channel Development,StoreDev,m1_m3_order_qty,M1-M3 Order Quantity,int,units,210,New dealer pickup in months 1–3,Pack E
SF-0141,Channel Development,StoreDev,gantt_owner,Store Opening Owner,string,-,Zhang San,Store-opening Gantt owner,Pack E
SF-0142,Channel Development,StoreDev,gantt_start,Store Opening Start Date,date,-,2026-07-01,Gantt start date,Pack E
SF-0143,Channel Development,StoreDev,gantt_end,Store Opening End Date,date,-,2026-09-15,Gantt end date,Pack E
SF-0144,Channel Development,StoreDev,fitout_suggest_grade,Fit-out Suggested Grade,enum,-,B,Recommended fit-out grade,Pack E
SF-0145,Channel Development,Risk,credit_code,Unified Social Credit Code,string,-,9132XXXXXXXX,Business registration code,Franchise / partner risk control
SF-0146,Channel Development,Risk,reg_capital_wan,Registered Capital,number,10k CNY,500,Registered capital,Risk control
SF-0147,Channel Development,Risk,lawsuit_cnt_3y,Lawsuit Count (3y),int,cases,2,Litigation count in last 3 years,Risk control
SF-0148,Channel Development,Risk,dishonest_flag,Dishonest Flag,boolean,-,false,Whether on dishonesty enforcement list,Risk control
SF-0149,Channel Development,Risk,negative_news_cnt_90d,Negative News Count (90d),int,items,1,Negative news items in last 90 days,Risk control
SF-0150,Channel Development,Risk,risk_level,Risk Level,enum,-,medium,Risk level classification,Risk control report
SF-0151,Channel Development,Risk,risk_score,Risk Score,number,0-100,62,Composite risk score,Risk control report
SF-0152,Channel Development,Risk,admission_suggest,Admission Recommendation,enum,-,supplement,Franchise admission recommendation,Franchise risk control
SF-0153,"Order, Inventory & Policy",Order,order_id,Order ID,string,-,SO-77821,Unique order number,Pack C / order audit
SF-0154,"Order, Inventory & Policy",Order,order_qty,Order Quantity,int,units,30,Units ordered,Pack C
SF-0155,"Order, Inventory & Policy",Order,order_status,Order Status,enum,-,pending_audit,Draft/pending audit/approved/rejected/shipped/completed,Pack C
SF-0156,"Order, Inventory & Policy",Order,audit_result,Audit Result,enum,-,suggest_substitute,Approved/rejected for stockout/suggest substitute,Smart order audit
SF-0157,"Order, Inventory & Policy",Inventory,wms_stock_qty,WMS Stock Quantity,int,units,120,Warehouse on-hand inventory,Pack C / B
SF-0158,"Order, Inventory & Policy",Inventory,wms_in_transit_qty,WMS In-Transit Quantity,int,units,45,In-transit warehouse quantity,Pack C
SF-0159,"Order, Inventory & Policy",Inventory,store_stock_qty,Store Stock Quantity,int,units,8,Store on-hand inventory,Pack C / D
SF-0160,"Order, Inventory & Policy",Inventory,stock_days_cover,Stock Days Cover,number,days,1.2,Days of inventory coverage,Stockout alert
SF-0161,"Order, Inventory & Policy",Inventory,stock_age_days,Stock Age (Days),int,days,51,Slow-moving inventory age,Sell-through weekly report
SF-0162,"Order, Inventory & Policy",Inventory,inventory_turn_days,Inventory Turn Days,number,days,28,Inventory turnover days,Health index / benchmarks
SF-0163,"Order, Inventory & Policy",Inventory,shortage_days,Stockout Days,int,days,11,Consecutive stockout days,Stockout loss
SF-0164,"Order, Inventory & Policy",Inventory,demand_daily_est,Estimated Daily Demand,number,units/day,18,Estimated daily demand,Stockout loss
SF-0165,"Order, Inventory & Policy",Inventory,lost_units_est,Estimated Lost Units,int,units,198,Estimated units lost to stockout,Stockout loss
SF-0166,"Order, Inventory & Policy",Inventory,lost_gmv_est,Estimated Lost GMV,number,CNY,653202,Estimated GMV lost to stockout,Stockout loss
SF-0167,"Order, Inventory & Policy",Inventory,lost_margin_est,Estimated Lost Margin,number,CNY,117576,Estimated gross margin lost to stockout,Stockout loss
SF-0168,"Order, Inventory & Policy",Inventory,shortage_root_cause,Stockout Root Cause,enum,-,color_plan,Production/logistics/color plan/supply,Stockout loss
SF-0169,"Order, Inventory & Policy",Inventory,replenish_qty_suggest,Suggested Replenish Quantity,int,units,200,Recommended replenishment quantity,Stockout loss
SF-0170,"Order, Inventory & Policy",Inventory,eta_date,ETA Date,date,-,2026-08-05,Expected arrival date for replenishment,Stockout / Pack C
SF-0171,"Order, Inventory & Policy",Policy,policy_version,Policy Version,string,-,2026Q3-Pickup-Rebate-V3,Sales policy version,Pack C / settlement
SF-0172,"Order, Inventory & Policy",Policy,current_rebate_tier,Current Rebate Tier,string,-,Silver tier,Current rebate tier name,Policy alerts
SF-0173,"Order, Inventory & Policy",Policy,current_pickup_qty_mtd,Current Pickup Qty MTD,int,units,612,Month-to-date cumulative pickup,Policy simulation
SF-0174,"Order, Inventory & Policy",Policy,qty_to_next_tier,Qty to Next Tier,int,units,188,Units needed to reach next tier,Policy simulation
SF-0175,"Order, Inventory & Policy",Policy,next_tier_name,Next Tier Name,string,-,Gold tier,Target tier name,Policy simulation
SF-0176,"Order, Inventory & Policy",Policy,next_tier_rebate_amt,Next Tier Rebate Amount,number,CNY,28000,Projected incremental rebate at next tier,Policy simulation
SF-0177,"Order, Inventory & Policy",Policy,rebate_rate,Rebate Rate,number,%,3.5,Rebate percentage,Settlement statement
SF-0178,"Order, Inventory & Policy",Policy,color_bonus_amt,Color Completeness Bonus,number,CNY,2000,Color completeness bonus amount,Settlement statement
SF-0179,"Order, Inventory & Policy",Policy,clawback_amt,Clawback Amount,number,CNY,500,Clawback for violations/non-achievement,Settlement statement
SF-0180,"Order, Inventory & Policy",Policy,payable_amt,Payable Amount,number,CNY,29500,Payable rebate amount,Settlement statement
SF-0181,"Order, Inventory & Policy",Policy,settlement_id,Settlement ID,string,-,STL-2026Q3-3201,Settlement statement identifier,Rebate settlement
SF-0182,"Order, Inventory & Policy",Policy,pay_status,Payment Status,enum,-,unpaid,Payment status,Settlement statement
SF-0183,"Order, Inventory & Policy",ColorPlan,color_plan_week,Color Plan Week,string,-,2026-W31,Color production planning week,PMC / Pack C
SF-0184,"Order, Inventory & Policy",ColorPlan,color_plan_qty,Color Plan Quantity,int,units,120,Planned production quantity for color,PMC
SF-0185,Retail & Marketing,Retail,retail_qty,Retail Quantity,int,units,46,Card-scan/retail volume in units,Pack D / daily report
SF-0186,Retail & Marketing,Retail,retail_qty_day,Daily Retail Quantity,int,units,6,Daily retail volume,Retail daily report
SF-0187,Retail & Marketing,Retail,retail_qty_mtd,MTD Retail Quantity,int,units,142,Month-to-date retail volume,Retail daily report
SF-0188,Retail & Marketing,Retail,retail_yoy,Retail YoY,number,%,8.2,Retail year-over-year growth,Pack D
SF-0189,Retail & Marketing,Retail,writeoff_qty,Write-off Quantity,int,units,28,Campaign write-off units,Pack D
SF-0190,Retail & Marketing,Retail,redeem_rate,Redemption Rate,number,%,62.0,Redeemed vs expected redemption,Pack D / campaigns
SF-0191,Retail & Marketing,Retail,gross_margin_amt,Gross Margin Amount,number,CNY,9860,Gross margin amount,Retail report
SF-0192,Retail & Marketing,Retail,gross_margin_rate,Gross Margin Rate,number,%,17.9,Gross margin percentage,Retail report
SF-0193,Retail & Marketing,Retail,non_exclusive_rate,Non-Exclusive Rate,number,%,0,Mixed/non-exclusive store share,Compliance / retail
SF-0194,Retail & Marketing,Retail,non_exclusive_flag,Non-Exclusive Flag,boolean,-,false,Whether store is non-exclusive,Inspection
SF-0195,Retail & Marketing,Campaign,campaign_id,Campaign ID,string,-,CAMP-Summer-TradeIn,Marketing campaign identifier,Pack D / campaign performance
SF-0196,Retail & Marketing,Campaign,campaign_name,Campaign Name,string,-,Summer trade-in promotion,Campaign name,Pack D
SF-0197,Retail & Marketing,Campaign,campaign_goal,Campaign Goal,string,-,Improve renewal conversion,Campaign objective,Campaign planning
SF-0198,Retail & Marketing,Campaign,campaign_budget,Campaign Budget,number,CNY,50000,Campaign budget,Campaign performance
SF-0199,Retail & Marketing,Campaign,participants,Participants,int,people,3200,Participant count,Campaign performance
SF-0200,Retail & Marketing,Campaign,campaign_roi,Campaign ROI,number,-,2.4,Return on investment,Campaign performance
SF-0201,Retail & Marketing,Campaign,campaign_complaint_rate,Campaign Complaint Rate,number,%,0.3,Campaign-related complaint rate,Campaign performance
SF-0202,Retail & Marketing,Content,short_video_cnt,Short Video Count,int,items,2140,Short video output count,New retail / Pack A
SF-0203,Retail & Marketing,Content,short_video_valid_participate_rate,Short Video Valid Participation Rate,number,%,38.5,Valid participation share,Pack A
SF-0204,Retail & Marketing,Content,followers,Followers,int,people,12400,Account follower count,Social matrix monitoring
SF-0205,Retail & Marketing,Content,play_cnt,Play Count,int,times,86000,Video play count,Social matrix / productivity
SF-0206,Retail & Marketing,Content,gmv_convert_rate,GMV Conversion Rate,number,%,1.8,Play-to-purchase conversion,Social matrix / productivity
SF-0207,Retail & Marketing,Content,deals_cnt,Deal Count,int,orders,36,Guide deal count,Staff productivity diagnostics
SF-0208,Retail & Marketing,Content,gmv,GMV,number,CNY,118764,Gross merchandise value,Productivity / live stream
SF-0209,Retail & Marketing,Content,aov,Average Order Value,number,CNY,3299,Average transaction value,Staff productivity diagnostics
SF-0210,Retail & Marketing,Content,valid_seller_flag,Valid Seller Flag,boolean,-,true,Whether account qualifies as active seller,Staff productivity diagnostics
SF-0211,Retail & Marketing,Content,live_sessions,Live Sessions,int,sessions,12,Live stream session count,New retail report
SF-0212,Retail & Marketing,Content,live_watch_uv,Live Watch UV,int,people,5600,Live stream unique viewers,New retail report
SF-0213,Retail & Marketing,Content,influencer_cvr,Influencer CVR,number,%,2.1,Influencer conversion rate,New retail report
SF-0214,Retail & Marketing,Content,refund_rate,Refund Rate,number,%,1.2,Refund share,New retail report
SF-0215,Retail & Marketing,Content,content_script_id,Content Script ID,string,-,SCRIPT-Range-Compare-01,Script/asset identifier,Pack D
SF-0216,Retail & Marketing,Content,benchmark_case_id,Benchmark Case ID,string,-,CASE-Suzhou-Wuzhong-Store,Benchmark case identifier,Benchmark report
SF-0217,Retail & Marketing,Outreach,channel_quota_daily,Channel Daily Quota,int,times,5000,Daily outreach quota per channel,Outreach matrix
SF-0218,Retail & Marketing,Outreach,delivery_rate,Delivery Rate,number,%,96.2,Message delivery rate,Outreach matrix
SF-0219,Retail & Marketing,Outreach,open_rate,Open Rate,number,%,28.4,Open/click rate,Outreach matrix
SF-0220,Retail & Marketing,Outreach,connect_rate,Connect Rate,number,%,41.0,Outbound call connect rate,Renewal scorecard
SF-0221,Retail & Marketing,Outreach,transfer_human_cnt,Transfer to Human Count,int,people,86,High-intent transfers to human agents,Renewal scorecard
SF-0222,Retail & Marketing,Outreach,template_approve_days,Template Approval Days,number,days,2,Template approval cycle in days,Outreach matrix
SF-0223,Service Tickets,Ticket,ticket_id,Ticket ID,string,-,TK-20260728-8891,Unique service ticket identifier,Service / VoC
SF-0224,Service Tickets,Ticket,ticket_type,Ticket Type,enum,-,fault,Fault/consult/complaint/other,Ticket analysis
SF-0225,Service Tickets,Ticket,fault_category,Fault Category,enum,-,battery,Battery/motor/brake/controller/charging/display/frame/lights/tires/other,Fault analysis
SF-0226,Service Tickets,Ticket,consult_category,Consult Category,string,-,Vehicle information,Consultation category,Inbound call analysis
SF-0227,Service Tickets,Ticket,ticket_channel,Ticket Channel,string,-,400,400/App/e-commerce/store etc.,VoC aggregation
